WBT_Vol,EBT_Vol,Non Simultaneous,Simultaneous,DecisionDif
2400,800,2.67142857142857,2.57857142857143,-0.0928571428571425
2400,1600,3.51071428571429,3.27142857142857,-0.239285714285714
2400,2400,3.92142857142857,4.47142857142857,0.55
1600,800,1.77820512820513,1.97820512820513,0.2
1600,1600,2.5025641025641,2.64871794871795,0.146153846153846
1600,2400,3.375,3.45,0.0750000000000002
800,800,1.38461538461538,1.27307692307692,-0.111538461538462
800,1600,2.18974358974359,2.27447552447552,0.0847319347319346
800,2400,2.53611111111111,3.11071428571429,0.574603174603175
